snf_grant_number;year;research_area;amount_granted;role;research_institution;research_institution_type;country;iso_code;continent;partner_budget;world_region;person_id
179123;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;6880
212554;2022;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;4970
192802;2020;Biology and Medicine;NA;Projektpartner;Swiss Institute of Bioinformatics – SIB;Other research institutions;Switzerland;CH;Europe;NA;Europe;16542
208177;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11259
204651;2021;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8151
182144;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;16081
207424;2022;"Mathematics, Natural and
Engineering Sciences";188242;Co-applicants;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;6787
179017;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1659
212358;2022;Biology and Medicine;573589;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;7856
200607;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Portugal;PT;Europe;NA;Europe;15461
175458;2017;Biology and Medicine;700000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8713
173131;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Kyrgyzstan;KG;Asia;NA;Asia;8108
176022;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;14509
179084;2018;"Mathematics, Natural and
Engineering Sciences";1203234;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;9505
192453;2020;Biology and Medicine;647037;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;2448
208120;2022;Biology and Medicine;803128;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;3863
182536;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Argentina;AR;South America;NA;Latin America;8646
200946;2021;Humanities and Social Sciences;NA;Projektpartner;University of St.Gallen – SG;Cantonal University;Switzerland;CH;Europe;NA;Europe;8252
207384;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;14129
178895;2018;"Mathematics, Natural and
Engineering Sciences";518032;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;7877
197618;2020;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;2000
192802;2020;Biology and Medicine;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;7933
184687;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Denmark;DK;Europe;NA;Europe;9749
200520;2021;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;3781
182585;2018;Humanities and Social Sciences;679476;Co-applicants;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;8496
213078;2022;"Mathematics, Natural and
Engineering Sciences";634937;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;6089
197366;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;5661
192691;2020;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;1138
212159;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Israel;IL;Asia;NA;Asia;1048
207951;2022;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1195
188457;2019;"Mathematics, Natural and
Engineering Sciences";354875;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;10106
182419;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;10555
204972;2021;Biology and Medicine;812000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7571
189161;2019;Humanities and Social Sciences;788528;Applicant;Pädagogische Hochschule der Fachhochschule Nordwestschweiz – PH-FHNW;University of Teacher Education;Switzerland;CH;Europe;NA;Europe;2310
212735;2022;"Mathematics, Natural and
Engineering Sciences";467900;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;6228
207491;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;2702
172853;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;14540
197258;2020;"Mathematics, Natural and
Engineering Sciences";954446;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;5962
172836;2017;Humanities and Social Sciences;NA;Projektpartner;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;4905
192784;2020;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;8317
182060;2018;"Mathematics, Natural and
Engineering Sciences";476106;Applicant;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;3820
179133;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;455
182332;2018;Biology and Medicine;496000;Co-applicants;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;11252
179182;2018;Humanities and Social Sciences;452256;Co-applicants;Haute Ecole Pédagogique des cantons de Berne, du Jura et de Neuchâtel – HEP-BEJUNE;University of Teacher Education;Switzerland;CH;Europe;NA;Europe;12935
188869;2019;Humanities and Social Sciences;850000;Co-applicants;Zurich University of the Arts – ZHdK;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;10558
188775;2019;Humanities and Social Sciences;NA;Projektpartner;Zurich University of the Arts – ZHdK;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;1447
197048;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;3405
192189;2020;Humanities and Social Sciences;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;5867
212526;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12817
178942;2018;"Mathematics, Natural and
Engineering Sciences";554577;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;5095
204537;2021;Biology and Medicine;614791;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;8672
172823;2017;"Mathematics, Natural and
Engineering Sciences";469928;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;8391
182235;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;376
213001;2022;Biology and Medicine;487702;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;4386
207910;2022;Biology and Medicine;NA;Projektpartner;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;5551
204240;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;15728
184626;2019;"Mathematics, Natural and
Engineering Sciences";259661;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;3377
188693;2019;"Mathematics, Natural and
Engineering Sciences";700704;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;15354
188837;2019;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;7498
207585;2022;Humanities and Social Sciences;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8788
182260;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;3898
212620;2022;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;7164
182680;2018;Biology and Medicine;NA;Projektpartner;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;15318
197007;2020;"Mathematics, Natural and
Engineering Sciences";900000;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;2284
182094;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;6579
175905;2017;"Mathematics, Natural and
Engineering Sciences";257640;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;6603
172671;2017;"Mathematics, Natural and
Engineering Sciences";478291;Applicant;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;1797
185429;2019;Humanities and Social Sciences;436882;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;3127
192036;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;11783
185108;2019;Biology and Medicine;279003;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;5965
192072;2020;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;6746
182122;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;9208
173128;2017;Biology and Medicine;700000;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;4989
172746;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;13171
175544;2017;Biology and Medicine;572000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;6377
178898;2018;Humanities and Social Sciences;467596;Applicant;University of Applied Sciences and Arts Northwestern Switzerland (without UTE) – FHNW;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;12290
201202;2021;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8721
172979;2017;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;12136
188505;2019;Biology and Medicine;1008000;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;5169
197888;2020;Biology and Medicine;990760;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;16301
212476;2022;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;13574
204220;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;8606
178782;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;11805
212929;2022;"Mathematics, Natural and
Engineering Sciences";876000;Co-applicants;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;1403
175801;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;9237
204726;2021;Humanities and Social Sciences;562518;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1406
182684;2018;"Mathematics, Natural and
Engineering Sciences";701746;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9862
182019;2018;"Mathematics, Natural and
Engineering Sciences";315987;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;3052
204285;2021;Biology and Medicine;NA;Projektpartner;NA;NA;Greece;GR;Europe;NA;Europe;1489
200367;2021;Biology and Medicine;NA;Projektpartner;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;10222
200710;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;7419
185413;2019;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6548
179337;2018;Biology and Medicine;246018;Applicant;Swiss Federal Laboratories for Materials Science and Technology – EMPA;ETH domain;Switzerland;CH;Europe;NA;Europe;11715
182484;2018;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;10680
204974;2021;Biology and Medicine;628318;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;3549
188707;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;8683
184634;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;9477
172979;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Finland;FI;Europe;NA;Europe;3742
200834;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Canada;CA;North America;NA;North America;8620
212936;2022;Humanities and Social Sciences;622960;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1384
188901;2019;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;16169
207558;2022;Humanities and Social Sciences;483928;Co-applicants;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;10047
173256;2017;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4804
200826;2021;Humanities and Social Sciences;316024;Applicant;Pädagogische Hochschule Zürich – PHZH;University of Teacher Education;Switzerland;CH;Europe;NA;Europe;6033
200828;2021;Humanities and Social Sciences;NA;Projektpartner;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;5773
212865;2022;"Mathematics, Natural and
Engineering Sciences";765324;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;10293
204833;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;South Africa;ZA;Africa;NA;Africa;7658
204439;2021;"Mathematics, Natural and
Engineering Sciences";552320;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;10427
207386;2022;"Mathematics, Natural and
Engineering Sciences";838219;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;2364
212632;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Netherlands;NL;Europe;NA;Europe;13610
197221;2020;"Mathematics, Natural and
Engineering Sciences";477928;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;2055
185315;2019;Biology and Medicine;NA;Projektpartner;NA;NA;Thailand;TH;Asia;NA;Asia;14965
204899;2021;Humanities and Social Sciences;688906;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;4726
212427;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;4869
204632;2021;"Mathematics, Natural and
Engineering Sciences";465001;Co-applicants;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;16613
197383;2020;Humanities and Social Sciences;785493;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;5247
182336;2018;Biology and Medicine;742079;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;10793
204681;2021;Biology and Medicine;NA;Projektpartner;NA;NA;Canada;CA;North America;NA;North America;794
197100;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;6403
184765;2019;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;2700
191988;2020;Biology and Medicine;632000;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;12395
173091;2017;Biology and Medicine;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;9906
204554;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;9016
212517;2022;Biology and Medicine;720000;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;5003
184932;2019;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7824
185348;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;3950
197353;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;14834
197369;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;15197
176038;2017;Biology and Medicine;632000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6416
182092;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Swiss Federal Institute for Forest, Snow and Landscape Research  – WSL;ETH domain;Switzerland;CH;Europe;NA;Europe;12646
179021;2018;"Mathematics, Natural and
Engineering Sciences";679928;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;12917
197964;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;9759
189064;2019;Biology and Medicine;563368;Applicant;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;3678
204503;2021;Humanities and Social Sciences;66549;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9394
185254;2019;Humanities and Social Sciences;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;5174
184980;2019;Biology and Medicine;672000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4555
176078;2017;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;11649
175603;2017;Biology and Medicine;696032;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;8221
212461;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;1553
212230;2022;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;5918
188588;2019;"Mathematics, Natural and
Engineering Sciences";361075;Applicant;Swiss Federal Laboratories for Materials Science and Technology – EMPA;ETH domain;Switzerland;CH;Europe;NA;Europe;1365
205110;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;8808
212833;2022;Humanities and Social Sciences;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;207
207997;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1316
207929;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;7879
185167;2019;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;9721
207881;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9494
188757;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Argentina;AR;South America;NA;Latin America;15481
188802;2019;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;2445
200458;2021;Humanities and Social Sciences;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;7406
192350;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;16236
182564;2018;"Mathematics, Natural and
Engineering Sciences";549318;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;5074
182131;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;4852
208052;2022;Biology and Medicine;908000;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4288
212289;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;3543
204577;2021;Humanities and Social Sciences;584686;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;14927
175490;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Russia;RU;Europe;NA;Europe;13848
182684;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;6162
184720;2019;Biology and Medicine;329288;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;6631
184757;2019;Biology and Medicine;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;3721
188866;2019;Humanities and Social Sciences;180786;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6676
182360;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;12084
182658;2018;Biology and Medicine;572000;Co-applicants;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;8915
172823;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;5910
184687;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;1067
197578;2020;Biology and Medicine;NA;Projektpartner;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;14226
176191;2017;Biology and Medicine;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;627
192153;2020;"Mathematics, Natural and
Engineering Sciences";1004879;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;6113
175808;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;16343
201072;2021;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;11849
200811;2021;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;12446
212512;2022;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;15865
173081;2017;Biology and Medicine;632000;Co-applicants;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;15176
182591;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;2460
175596;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;1501
185308;2019;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;15388
179434;2018;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;11045
189055;2019;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;12812
207991;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14651
197247;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;2524
179023;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14827
204681;2021;Biology and Medicine;NA;Projektpartner;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;10107
192374;2020;Humanities and Social Sciences;NA;Projektpartner;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;1904
197398;2020;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;10626
208174;2022;Biology and Medicine;1208000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;5140
189072;2019;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;12429
182815;2018;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;395
192829;2020;Humanities and Social Sciences;633870;Co-applicants;University of Neuchatel – NE;Cantonal University;Switzerland;CH;Europe;NA;Europe;15845
212633;2022;Humanities and Social Sciences;NA;Projektpartner;University of Neuchatel – NE;Cantonal University;Switzerland;CH;Europe;NA;Europe;6557
172858;2017;Humanities and Social Sciences;365800;Co-applicants;Unassignable – NA;Other research institutions;Switzerland;CH;Europe;NA;Europe;16331
184972;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Belgium;BE;Europe;NA;Europe;443
201277;2021;Biology and Medicine;903729;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;5238
207842;2022;"Mathematics, Natural and
Engineering Sciences";601928;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;5692
192505;2020;Biology and Medicine;632000;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4154
207871;2022;Humanities and Social Sciences;655572;Applicant;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;10181
212301;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Senegal;SN;Africa;NA;Africa;15916
172662;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;15886
175770;2017;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;374
212649;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Nicaragua;NI;South America;NA;Latin America;251
182523;2018;Biology and Medicine;1322080;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;6289
189226;2019;Biology and Medicine;579138;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;7411
182084;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14008
179061;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Swiss Federal Laboratories for Materials Science and Technology – EMPA;ETH domain;Switzerland;CH;Europe;NA;Europe;2413
212183;2022;Biology and Medicine;750000;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;10046
